Device_ID,Device_Type,BS_position,No_of_sensors,Threshold_distance,Energy_consumed_by_amplifier_long_distance,Initial_energy,Cluster_radius,Energy_consumed_by_electronics_circuit,Energy_consumed_by_amplifier_short_distance,Simulation_time,Secondary_model_parameter_value,Bandwidth,Data_packet_size,Message_size,ICMP_IPV4_TYPE,ICMP_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,ATTACK,LABEL,DATASET
Device_24,Sensor,260.24,477,86.35,0.0032241757509817535,2.529,37.11,0.002895379216350198,0.0004276810034255826,5010,3.111,396,119,1160,0,0,36285,1,22521,220,Normal,0,NF-ToN-IoT-v2
Device_25,Sensor,159.49,363,146.23,0.009911744847540057,0.935,59.74,0.004406473722947415,0.0009291717584023554,6672,5.227,251,273,2639,0,0,48962,28,65983,150,DoS,1,NF-ToN-IoT-v2
Device_26,Gateway,160.46,431,176.57,0.004371171523671134,2.008,61.5,0.0014863948916730347,0.0004698159760140733,1158,7.492,128,1040,1960,3,8,25669,1,9705,220,Port_Scan,1,NF-BoT-IoT-v2
Device_27,Gateway,70.49,35,51.1,0.00871101162056294,2.781,53.92,0.003154731797163145,4.0593789292918766e-05,4400,5.631,697,1187,3218,8,0,58841,28,16783,425,Brute_Force,1,NF-ToN-IoT-v2
Device_28,Actuator,185.65,219,163.37,0.008975447372577258,3.797,19.87,0.0009067944194895476,0.00048586234588343804,9181,4.247,188,629,2285,11,0,22508,1,84002,331,DDoS,1,NF-CSE-CIC-IDS2018-v2
Device_29,Camera,664.22,101,153.91,0.008376469297251265,1.391,99.15,0.001834422899016898,0.0007975437564213931,5603,8.465,183,1677,953,8,0,40269,1,49290,331,DDoS,1,NF-CSE-CIC-IDS2018-v2
Device_30,Camera,881.69,134,77.82,0.0005642925853571614,1.481,21.4,0.004741463628658031,0.0006506134875779814,3052,2.946,583,1383,3563,0,0,8675,2,34713,425,Data_Exfiltration,1,NF-CSE-CIC-IDS2018-v2
Device_31,Gateway,814.13,444,198.01,0.00948269264297218,3.342,76.39,0.0037634404863553846,0.0009666520446485273,5796,4.867,578,142,1675,8,8,43817,2,82132,200,Brute_Force,1,NF-ToN-IoT-v2
Device_32,Camera,685.13,82,59.89,0.0013745513651184516,2.221,80.18,0.0027744482445171414,0.0008448397651640983,7710,9.784,968,1775,2402,0,0,4923,28,13972,425,Port_Scan,1,NF-CSE-CIC-IDS2018-v2
Device_33,Camera,110.43,489,58.41,0.00044059591437151563,2.669,18.79,0.0013333143158651918,0.0005312861462685874,2844,9.676,841,320,444,11,8,28498,5,19777,530,Brute_Force,1,NF-CSE-CIC-IDS2018-v2
Device_34,Sensor,289.19,132,156.73,0.00420225911827492,4.263,93.65,0.0019605555909550545,0.00021445535994934413,9800,0.162,762,1472,2674,0,8,26799,2,68453,220,Data_Exfiltration,1,NF-CSE-CIC-IDS2018-v2
Device_35,Gateway,309.81,318,92.58,0.0020268769243027753,2.746,51.34,0.0008677973358773211,1.3736883523901835e-05,7737,5.369,667,105,3498,11,8,49079,1,54996,530,DoS,1,NF-BoT-IoT-v2
Device_36,Router,249.96,193,72.85,0.0019235456436660385,3.436,64.74,0.0018319892461755984,0.0009806973730313545,3133,3.436,412,1889,249,11,8,57574,28,25714,226,Port_Scan,1,NF-CSE-CIC-IDS2018-v2
Device_37,Gateway,515.01,196,43.95,0.0029494141724238907,3.455,66.01,0.0008381008488072424,0.0009389365013196435,6134,2.983,933,1816,1092,11,0,32854,5,9419,200,Brute_Force,1,NF-BoT-IoT-v2
Device_38,Router,535.55,207,155.41,0.002559215491943863,4.116,52.97,0.0039970044617544595,0.00028140255413444096,9424,6.003,79,139,4069,8,8,53636,28,8785,530,Normal,0,NF-BoT-IoT-v2
Device_39,Sensor,356.89,87,159.4,0.006879474481286517,3.372,18.49,0.0004957195407172122,0.0006418336283614899,1301,4.518,19,1571,3397,11,8,34411,1,44799,220,Data_Exfiltration,1,NF-ToN-IoT-v2
Device_40,Actuator,353.79,357,117.65,0.001949095335697094,0.792,76.42,0.0010280868510548148,0.0007319471672572922,348,7.355,478,1782,2290,3,8,8910,2,673,200,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_41,Camera,828.56,195,191.89,0.005476871221452861,2.04,60.27,0.003486716975925694,0.000582233326422269,8103,0.369,947,1746,3277,0,8,63197,2,20693,200,Normal,0,NF-BoT-IoT-v2
Device_42,Sensor,789.29,353,70.45,0.009865622806820944,4.952,16.27,0.004522331890860837,0.0008445320580897169,5376,9.276,781,1722,4079,0,8,21216,15,51699,425,DDoS,1,NF-CSE-CIC-IDS2018-v2
Device_43,Camera,307.8,262,51.73,0.00438058596746726,1.384,71.53,0.004826498887861248,8.704640194769361e-05,8521,5.719,45,832,1355,0,0,2229,15,47311,150,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_44,Actuator,913.79,22,138.72,0.006454543777074822,3.14,71.76,0.004196512292029806,0.0008975290938087113,2775,6.872,774,768,2737,0,0,35237,28,57050,200,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_45,Actuator,952.82,308,154.1,0.009696779609525748,4.293,57.11,0.0011362117041945022,0.00039809882105482715,9576,6.085,222,1160,2581,11,8,47762,28,59060,425,Data_Exfiltration,1,NF-CSE-CIC-IDS2018-v2
Device_46,Sensor,326.74,85,52.73,0.0014626260806095063,3.14,13.6,0.0014999853005770438,0.0004858831213590436,2975,9.892,129,1437,1068,8,8,39364,5,40347,530,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_47,Actuator,354.42,60,24.56,0.00424420939200119,2.175,38.5,0.004366686529692909,0.00045028631391745544,8612,9.864,618,1651,3827,8,0,2248,2,3214,331,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_48,Router,505.63,284,164.0,0.008516904761933015,0.861,9.84,0.004457731527246143,0.0005359733607396614,7394,6.138,763,108,3112,8,8,16966,2,45055,530,Normal,0,NF-ToN-IoT-v2
Device_49,Actuator,941.12,158,195.54,0.00932982625917431,2.127,50.37,0.003239200512518551,0.000602186787166896,127,6.871,633,234,4017,8,0,36887,15,24891,226,Brute_Force,1,NF-ToN-IoT-v2
Device_50,Camera,876.32,228,132.49,0.0060522369737931615,1.319,91.11,0.001636841386015663,0.0007132399986494,609,6.224,230,882,1155,0,8,33640,1,78390,150,Normal,0,NF-BoT-IoT-v2
Device_51,Camera,102.57,131,62.79,0.0015198639651482116,4.824,5.21,0.0011978776489252859,0.0005296909356844521,740,3.176,793,1556,2218,3,8,63989,1,8201,200,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_52,Camera,392.73,220,199.37,0.009024568681081785,3.718,30.33,0.0042761852263874574,0.0006879255234488014,3350,2.007,227,1296,2682,3,0,35151,15,36845,150,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_53,Camera,553.37,289,179.72,0.0018270210052903316,3.872,80.99,0.0011057494924038036,0.0003449144691547936,3847,4.087,922,831,3921,8,8,24548,28,77415,425,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_54,Router,503.13,35,107.54,0.0035934906984879736,2.462,5.94,0.003342841318343843,0.000937314061555407,2819,6.859,397,738,3572,0,8,36489,2,45052,226,Data_Exfiltration,1,NF-CSE-CIC-IDS2018-v2
Device_55,Gateway,193.86,182,166.81,0.0038175289798463912,0.995,5.97,0.004842971379397248,7.388570960177147e-05,4003,0.654,275,1427,3166,11,0,26068,2,41881,226,Brute_Force,1,NF-BoT-IoT-v2
Device_56,Sensor,858.82,165,165.01,0.004528186244739018,1.7,63.03,0.003555927823248992,0.0005500852024754826,5105,5.192,138,1260,3682,8,8,56468,2,42598,150,Port_Scan,1,NF-ToN-IoT-v2
Device_57,Camera,676.94,247,187.61,0.0079226415777164,1.669,79.97,0.001362584534506528,9.652221426149752e-05,9603,4.143,173,443,3907,11,0,62446,1,85645,220,Port_Scan,1,NF-BoT-IoT-v2
Device_58,Actuator,837.91,385,169.78,0.008041229343214598,2.691,78.77,0.0014842789162447798,0.00044833936567656104,3436,5.322,327,1269,584,11,8,46990,28,46832,226,DDoS,1,NF-CSE-CIC-IDS2018-v2
Device_59,Camera,858.76,91,132.3,0.007224585225453331,2.574,79.06,0.0005551843995624365,0.0002650065340763016,9782,8.616,783,472,1708,11,0,13887,1,82641,331,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_60,Actuator,748.36,365,125.77,0.00031907387677365803,2.45,39.3,0.003462563700807979,0.0009375344150868211,1518,0.571,215,1586,718,3,8,45196,28,4642,331,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_61,Actuator,439.21,499,98.8,0.005691966511949801,2.732,88.86,0.0026403348391726166,2.2944632522083978e-05,7699,7.66,228,1726,105,8,0,47091,15,77673,200,DoS,1,NF-ToN-IoT-v2
Device_62,Camera,610.55,422,129.03,0.007500180263225861,4.942,6.22,0.0011117113277272187,0.0003972915948300425,9750,6.702,107,1267,3322,0,0,6897,28,58087,220,DoS,1,NF-CSE-CIC-IDS2018-v2
Device_63,Router,160.37,282,161.09,0.004501789876609275,1.843,34.66,0.0012155746726922076,0.000784222322209885,3559,2.118,159,84,2708,0,0,44278,1,34077,220,Data_Exfiltration,1,NF-BoT-IoT-v2
Device_64,Actuator,673.65,77,194.12,0.009454866849117425,3.269,37.03,0.00014422031835919727,0.00019657679852495111,5004,7.368,894,1566,2975,0,8,1094,2,12971,425,Normal,0,NF-BoT-IoT-v2
Device_65,Actuator,179.25,53,98.78,0.008255724166615474,1.578,20.73,0.004894255055622566,0.0008174323226195904,7412,5.014,136,1143,3848,8,8,53159,1,66481,200,Botnet,1,NF-CSE-CIC-IDS2018-v2
Device_66,Camera,693.95,70,118.99,0.006417735148319626,2.6,36.94,0.004157289109150564,0.0008611278369465756,7442,4.862,763,703,4015,3,0,4487,15,77361,226,Data_Exfiltration,1,NF-CSE-CIC-IDS2018-v2
Device_67,Actuator,229.6,132,94.51,0.0007180093184568825,1.4,60.66,0.002031432757588293,0.0007109229696493123,9629,4.882,30,40,1887,11,8,14314,2,10185,530,Brute_Force,1,NF-ToN-IoT-v2
Device_68,Actuator,117.55,358,137.01,0.006558227851073069,3.012,54.43,0.004735840268891049,0.00021697849060190908,5348,9.497,98,722,911,0,0,51447,1,63508,150,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_69,Camera,165.28,205,129.68,0.009124638052396968,1.693,35.35,0.003417887701856567,0.00027931827001574677,3181,9.449,609,114,1388,3,8,42088,2,86145,220,Port_Scan,1,NF-BoT-IoT-v2
Device_70,Camera,1.99,339,13.39,0.003856509330121419,0.666,76.19,0.0037821664245762865,0.00017526538140840835,446,9.145,769,1718,2372,11,0,15269,15,39953,220,DoS,1,NF-CSE-CIC-IDS2018-v2
Device_71,Sensor,718.74,418,112.82,0.008397512003493073,4.169,72.91,0.0034317819493813275,0.0001922230998293857,216,8.879,784,1080,1577,11,8,21555,28,50486,530,Normal,0,NF-BoT-IoT-v2
Device_72,Router,732.4,488,26.81,0.003200295314335572,1.077,31.67,0.003808559276576024,4.6127373510621575e-05,9712,0.472,882,256,734,3,8,18689,28,14534,425,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_73,Router,514.93,332,15.01,0.005744022586318298,2.156,35.71,0.0009376007478643256,0.0008587419303862839,3182,4.066,523,1552,3800,8,8,21988,5,48523,226,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_74,Actuator,161.36,120,160.33,0.0065194017418707464,2.647,32.31,0.00285575018792051,0.0005332172645535574,1731,8.959,923,461,2807,8,8,24981,2,44444,425,Normal,0,NF-ToN-IoT-v2
Device_75,Router,83.55,267,59.14,0.00681215087183306,2.446,17.24,0.004261943749403442,0.0003344816316481811,2099,7.576,342,1483,1344,3,8,34422,15,17670,150,DDoS,1,NF-ToN-IoT-v2
Device_76,Actuator,19.13,98,74.72,0.008837238213197048,3.765,76.51,0.000195758661453286,0.00029668122610277396,8159,4.621,168,1249,892,11,8,21365,1,84767,331,Botnet,1,NF-ToN-IoT-v2
Device_77,Sensor,165.75,442,22.18,0.002422760443362193,3.185,9.4,0.0007048704716038512,0.0005492493334831106,7369,7.755,211,1173,3202,0,8,44035,1,49209,220,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_78,Camera,890.86,207,44.11,0.0026974588943608495,1.829,19.31,0.0013036350673393366,0.0003334179735720496,8232,2.161,684,866,3860,0,8,58931,5,55369,425,DoS,1,NF-CSE-CIC-IDS2018-v2
Device_79,Camera,241.54,291,155.46,0.007070005833776295,0.733,15.0,0.0015441608139656168,0.0008650807952602445,6198,6.038,838,926,283,8,0,22894,1,30322,530,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_80,Camera,354.27,209,103.77,0.0018542187435919774,3.954,83.41,0.0009952489462946015,0.00021884786068654166,9098,5.377,632,1979,3458,0,0,26630,15,62280,226,Normal,0,NF-ToN-IoT-v2
Device_81,Router,105.35,108,177.33,0.0046962770091432075,2.086,9.18,0.0031592189106622237,0.0008834787734987242,7103,5.778,185,791,4073,11,0,28672,15,72020,425,Port_Scan,1,NF-CSE-CIC-IDS2018-v2
Device_82,Sensor,222.36,36,85.48,0.0002983404023644299,4.504,68.14,0.001540693448849343,0.0006674515284733948,1791,7.246,432,1026,927,3,8,12626,28,20389,220,DoS,1,NF-BoT-IoT-v2
Device_83,Router,519.22,98,61.05,0.0014956954362021298,2.278,9.23,0.0008746892341965985,0.0009570629282504205,2804,9.503,424,109,3871,11,8,11961,2,34194,331,Botnet,1,NF-CSE-CIC-IDS2018-v2
Device_84,Router,607.75,155,76.04,0.006820579211785729,3.729,79.71,0.0045385482927153215,2.4956169219336504e-05,5640,2.714,39,1207,2096,0,0,52925,2,77609,530,Brute_Force,1,NF-CSE-CIC-IDS2018-v2
Device_85,Sensor,245.35,191,145.43,0.007499869874469365,4.728,91.71,0.0035056692045819142,6.850461005404493e-05,3535,7.605,980,1111,1693,11,0,53597,1,33865,200,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_86,Sensor,57.73,266,115.45,0.0012416584290549809,3.43,51.25,0.0013056878582181112,0.0005058856479972075,8502,6.487,387,1873,3194,8,0,6769,2,73768,425,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_87,Sensor,391.03,198,181.8,0.0023543245490708505,2.361,81.43,0.0018686728032247418,0.0009132550417317279,9982,6.982,951,388,3313,3,0,40641,5,45872,226,DoS,1,NF-ToN-IoT-v2
Device_88,Sensor,234.2,249,124.41,0.001079154020716806,3.053,72.11,0.0037298492581546226,0.0007334870020148436,1877,4.346,769,1314,524,3,0,34870,2,14169,530,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_89,Camera,219.55,368,103.67,0.004390787154858657,2.946,80.59,0.003975459360495347,0.00062591457319414,3247,9.451,791,566,353,0,0,31348,1,69349,150,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_90,Gateway,959.86,396,159.29,0.0013485491003718696,3.132,77.84,0.0009645372105591227,4.128613410358192e-05,8157,4.849,742,705,1199,0,0,3852,2,25528,530,Brute_Force,1,NF-CSE-CIC-IDS2018-v2
Device_91,Gateway,616.3,205,190.03,0.004429230569952212,1.161,24.51,0.004689222811961285,0.00036062215052848324,2599,1.304,451,1832,3459,11,0,58139,15,45284,530,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_92,Sensor,556.88,306,77.61,0.007347772732431204,3.643,52.46,0.00394783250105106,0.0003523943639738287,786,6.839,958,1649,2293,11,0,64781,15,58518,200,DoS,1,NF-BoT-IoT-v2
Device_93,Gateway,415.78,174,57.48,0.006865547468119833,1.153,96.24,0.004298390741955884,0.0005466648254373067,5166,1.376,115,602,2577,3,0,60290,28,8120,425,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_94,Gateway,428.94,316,127.08,0.0028765588198332677,0.566,37.64,0.0008049081541201667,0.00026524950155329424,9221,3.294,930,609,287,8,8,59663,28,7211,150,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_95,Sensor,540.91,280,104.79,0.006770249237544632,3.312,97.2,0.0008024990458455768,0.00027448415802598246,9606,2.357,401,437,2509,8,8,19288,28,81917,530,Data_Exfiltration,1,NF-CSE-CIC-IDS2018-v2
Device_96,Gateway,696.43,17,197.95,0.009284350095905811,1.026,60.4,0.0015963073367043007,0.0006246521920759918,2933,5.435,304,146,3295,0,8,1453,28,55901,331,Brute_Force,1,NF-BoT-IoT-v2
Device_97,Router,702.15,47,97.85,0.0035404914321406637,3.967,48.85,0.00041676745616236755,0.000945121867881015,2345,3.54,603,1858,517,8,0,25454,2,45817,530,Normal,0,NF-ToN-IoT-v2
Device_98,Actuator,171.69,123,24.12,0.003358279621606305,4.397,67.49,0.0005462299015932774,0.0006635773126003284,1285,1.683,309,1982,426,3,0,29048,1,55989,150,Port_Scan,1,NF-CSE-CIC-IDS2018-v2
Device_99,Actuator,500.11,348,195.7,0.005757242649671973,4.751,82.5,0.0008017150620476924,0.0006714488227412248,2564,7.929,573,505,2110,8,8,57730,2,71443,220,Normal,0,NF-ToN-IoT-v2
Device_100,Sensor,411.96,65,170.28,0.002530467929171971,3.49,42.45,0.003590905690156241,0.0009863526652542343,8675,4.738,103,785,1936,3,8,61025,1,69585,331,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_101,Camera,870.53,440,43.87,0.006550631387004496,2.669,8.13,0.00024812842904187594,0.0001619433853990922,1621,4.599,727,1389,2887,0,0,51586,1,75900,530,Normal,0,NF-ToN-IoT-v2
Device_102,Sensor,631.42,483,181.87,0.008339391529657562,2.085,72.34,0.0005078994287061429,4.34964264583568e-05,1079,8.875,102,1676,2786,11,8,31912,1,74025,200,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_103,Camera,532.5,368,74.73,0.004647253200476458,2.709,95.84,0.004726499327309839,0.0007480588112388352,4277,5.434,907,1871,1879,8,8,42140,1,20702,530,DDoS,1,NF-CSE-CIC-IDS2018-v2
Device_104,Actuator,115.39,147,81.65,0.0068271225167909864,1.357,64.37,0.000509917740194486,0.0004443995588579734,3710,7.128,655,1364,66,3,8,20903,15,59865,220,Normal,0,NF-ToN-IoT-v2
Device_105,Sensor,605.64,111,182.21,0.0065536656964416545,2.068,22.9,0.0027335656143181084,0.0004345351212044862,7571,3.348,90,2043,656,0,8,33554,1,62551,425,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_106,Router,117.2,343,110.72,0.0004827890622911362,3.731,28.58,0.0032486086420874384,0.000233050342599402,5800,5.657,118,362,3939,3,8,55955,2,53234,220,Normal,0,NF-CSE-CIC-IDS2018-v2
Device_107,Gateway,337.21,186,36.17,0.0019158213222401866,1.478,91.43,0.004797108217204946,0.0005117944101138481,7673,7.292,139,1599,754,8,8,12564,1,5114,331,DDoS,1,NF-ToN-IoT-v2
Device_108,Camera,142.84,178,80.12,0.008945947017999487,1.688,6.29,0.004509033317767055,0.00044775062028762456,2053,3.035,903,756,1447,3,8,3219,15,8519,530,Normal,0,NF-BoT-IoT-v2
Device_109,Gateway,692.07,348,147.2,0.009395032258913692,3.872,57.13,0.0022593455592143496,0.00035199550776786537,5646,6.916,303,1014,912,0,8,15195,2,8734,150,DDoS,1,NF-BoT-IoT-v2
Device_110,Gateway,206.25,295,43.09,0.007826352435120656,1.3,20.07,0.004716603900450874,0.00044831770774503467,9776,5.731,752,1559,2040,0,8,59182,5,50090,425,Normal,0,NF-BoT-IoT-v2
Device_111,Sensor,391.86,270,122.14,0.009220356668444177,1.606,31.86,0.0022181027865097987,0.00038999642301566095,983,4.399,648,119,3450,11,0,7258,2,2283,150,Normal,0,NF-ToN-IoT-v2
Device_112,Gateway,895.67,384,142.1,0.0031308716440938906,0.579,34.16,0.0033826017058060974,0.0009404973945086413,4923,7.158,517,939,669,11,8,6699,15,51207,200,Brute_Force,1,NF-ToN-IoT-v2
Device_113,Router,204.32,232,75.33,0.002552338620612565,3.74,25.83,0.001372079546519148,0.0009804491409010768,223,3.237,209,605,792,8,0,34541,15,79070,331,Normal,0,NF-ToN-IoT-v2
Device_114,Gateway,507.81,208,141.84,0.003904571856849148,3.281,80.27,0.0032195581768587615,0.0008415019231866365,625,7.174,87,34,2133,0,0,27761,28,86269,200,Botnet,1,NF-ToN-IoT-v2
Device_115,Sensor,419.27,220,178.0,0.0006478857856494834,3.625,36.56,0.002737125828582461,0.0009905099501020037,2186,5.556,962,1829,2532,8,0,18426,5,45533,530,Normal,0,NF-BoT-IoT-v2
Device_116,Router,18.12,296,99.7,0.008117729028509145,1.464,37.82,0.0030734721094958016,0.00027306223473888823,6511,2.531,859,1438,2058,0,8,58968,1,33617,226,DoS,1,NF-BoT-IoT-v2
Device_117,Actuator,792.76,189,82.75,0.009843337302639265,3.593,48.04,0.003444990886534941,0.0008444958588197502,6199,6.716,319,1679,1213,8,8,56321,15,19978,331,Normal,0,NF-ToN-IoT-v2
Device_118,Gateway,69.05,259,57.72,0.008257889995122437,3.184,90.72,0.0009499309705004738,0.00041256272178359486,9668,8.859,789,555,3915,0,8,44532,28,57484,226,DDoS,1,NF-CSE-CIC-IDS2018-v2
Device_119,Sensor,474.26,240,124.8,0.005594255815040227,2.148,70.38,0.0015761877247807434,0.0007486750337999759,4506,3.169,967,1620,1492,8,8,14506,28,60017,200,Port_Scan,1,NF-CSE-CIC-IDS2018-v2
Device_120,Actuator,560.68,481,177.17,0.003023291507781203,2.47,10.87,0.0037075827959350874,0.0002093787142241685,4235,8.142,887,1203,1742,3,8,56760,1,77320,226,Data_Exfiltration,1,NF-CSE-CIC-IDS2018-v2
Device_121,Actuator,628.43,491,71.69,0.002057209096581448,3.056,8.73,0.0009027375327263438,0.0008138365288438942,8126,3.428,633,537,2379,11,8,15959,2,61833,226,Brute_Force,1,NF-ToN-IoT-v2
Device_122,Camera,688.63,32,85.28,0.003704222430786934,2.72,58.81,0.0017867766797228593,9.262978189535032e-05,4976,8.229,245,677,3989,3,8,58592,5,66232,220,Normal,0,NF-BoT-IoT-v2
Device_123,Router,253.27,57,87.26,0.0067029983425272435,3.388,89.27,0.003365745586356155,0.0002778521296492397,8872,0.606,870,115,2726,11,8,20626,1,34943,220,DoS,1,NF-ToN-IoT-v2
